SNo.,Repository Name,Repository Link,Language,Domain,Stars,Forks ,Releases (Till 10th Jan),No. of Contributors,Total Number of Pull-Request,Closed PR,Merged PR,Avg. No. of lines added,Avg. No. lines Deleted,Avg. No. of Files Changed,Functional PR,Bug Fixing PR,Testing PR
22,Binaryify/NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,JavaScript,General Application,15198,3100,70,32,71,13,58,41,19,2,262,67,28
23,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,Java,Android,27000,8900,112,27,146,87,59,71,28,5,134,38,94
24,BookStackApp/BookStack,https://github.com/BookStackApp/BookStack,PHP,General Application,4700,758,82,98,266,51,215,138,31,5,476,131,131
25,BoostIO/Boostnote,https://github.com/BoostIO/Boostnote,JavaScript,Editor,16900,1500,94,224,1147,146,1001,47,18,2,312,115,59
26,BrainJS/brain.js,https://github.com/BrainJS/brain.js,JavaScript,Library,11000,852,20,61,112,14,98,82,34,5,226,85,68
27,brigadecore/brigade,https://github.com/brigadecore/brigade,Go,Scripting,1900,196,29,76,543,29,514,69,26,2,202,24,31
28,CachetHQ/Cachet,https://github.com/CachetHQ/Cachet,PHP,General Application,11300,1300,54,173,1650,341,1309,64,32,4,539,176,229
29,Carthage/Carthage,https://github.com/Carthage/Carthage,Swift,Framework,13693,1408,72,166,1024,122,902,54,27,4,2178,911,995
30,CellularPrivacy/Android-IMSI-Catcher-Detector,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector,Java,Android,"3,755",798,42,102,308,45,263,122,87,3,229,50,51
31,ChrisRM/material-theme-jetbrains,https://github.com/ChrisRM/material-theme-jetbrains,Java,Editor,7600,456,231,46,230,74,156,88,40,4,186,67,42
32,CocoaPods/Xcodeproj,https://github.com/CocoaPods/Xcodeproj,Ruby,Editor,1678,374,128,114,340,52,288,48,13,2,867,299,230
33,CodisLabs/codis,https://github.com/CodisLabs/codis,Go,Database,11075,2497,43,28,112,21,91,111,34,4,170,35,25
34,CosmicMind/Material,https://github.com/CosmicMind/Material,Swift,Framework,11500,1300,285,44,87,22,65,47,34,3,1085,284,286
35,CRYTEK/CRYENGINE,https://github.com/CRYTEK/CRYENGINE,C++,Games,9400,1900,34,46,137,103,34,45,19,2,133,19,17
36,CTCaer/hekate,https://github.com/CTCaer/hekate,C,Games,1800,262,32,26,37,15,22,79,34,3,25,6,6
37,CuteOne/BadRotations,https://github.com/CuteOne/BadRotations,Lua,Games,103,126,61,74,652,60,592,69,32,2,435,80,57
38,DaveGamble/cJSON,https://github.com/DaveGamble/cJSON,C,Parser,4400,1700,42,58,20,1,19,17,13,1,14,3,3
39,DeclarativeHub/Bond,https://github.com/DeclarativeHub/Bond,Swift,Framework,4039,357,150,70,231,59,172,82,21,3,1589,357,174
40,DFHack/dfhack,https://github.com/DFHack/dfhack,C++,Games,982,316,126,120,624,118,506,109,35,3,125,36,28
41,DisposaBoy/GoSublime,https://github.com/DisposaBoy/GoSublime,Go,Editor,3300,315,45,23,66,30,36,44,15,3,165,20,34
42,DylanVann/react-native-fast-image,https://github.com/DylanVann/react-native-fast-image,TypeScript,Framework,4693,820,78,44,1768,656,1112,38,17,3,5410,1596,1240
43,Dysoch/DyTech,https://github.com/Dysoch/DyTech,Lua,Games,55,54,22,19,47,6,41,62,33,11,213,79,252
44,EasyCorp/EasyAdminBundle,https://github.com/EasyCorp/EasyAdminBundle,PHP,Framework,2853,623,129,220,1451,548,903,54,26,6,548,201,169
45,EasyEngine/easyengine,https://github.com/EasyEngine/easyengine,PHP,Web Application,1700,419,114,48,330,80,250,64,29,3,470,180,122
46,EasyNetQ/EasyNetQ,https://github.com/EasyNetQ/EasyNetQ,C#,Web Application,1848,628,34,117,478,68,410,89,41,2,64,10,19
47,EugenMayer/docker-sync,https://github.com/EugenMayer/docker-sync,Ruby,OS,2900,199,63,65,170,24,146,42,17,3,990,198,201
48,ExactTarget/fuelux,https://github.com/ExactTarget/fuelux,JavaScript,Web Application,5370,1126,85,54,982,197,785,72,37,6,292,109,77
49,FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,Go,Security,24100,985,11,32,70,27,43,21,3,3,169,31,23
50,FineUploader/fine-uploader,https://github.com/FineUploader/fine-uploader,JavaScript,Web Browser,8100,1900,111,97,341,191,150,51,21,4,228,71,106
51,FNA-XNA/FNA,https://github.com/FNA-XNA/FNA,C#,Games,998,103,55,24,104,28,76,71,44,2,56,8,6
52,Foundry376/Mailspring,https://github.com/Foundry376/Mailspring,TypeScript,General Application,8500,565,40,170,118,22,96,75,42,5,3224,972,811
53,GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,JavaScript,Framework,13773,1700,120,164,599,161,438,42,32,3,308,92,56
54,GeekyAnts/NativeBase,https://github.com/MrKepzie/Natron,C++,General Application,1417,176,47,19,61,10,51,86,52,4,120,16,16
55,GitSquared/edex-ui,https://github.com/GitSquared/edex-ui,JavaScript,General Application,12800,821,25,34,372,60,312,75,63,5,283,87,52
56,GoogleChrome/lighthouse,https://github.com/GoogleChrome/lighthouse,JavaScript,Web Application,19808,6874,79,224,3111,349,2762,81,39,3,350,97,87
57,GoogleChrome/workbox,https://github.com/GoogleChrome/workbox,JavaScript,Library,9159,590,62,50,918,58,860,128,62,5,313,68,81
58,GoogleContainerTools/container-diff,https://github.com/GoogleContainerTools/container-diff,Go,OS,2402,163,20,31,182,12,170,80,34,3,151,56,40
59,GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib,Java,OS,8940,858,90,56,1241,61,1180,102,50,3,229,58,54
60,GrafiteInc/Builder,https://github.com/GrafiteInc/Builder,PHP,Framework,1009,115,106,26,74,18,56,17,16,2,420,90,154
61,Hammerspoon/hammerspoon,https://github.com/Hammerspoon/hammerspoon,Objective-C,OS,6700,355,86,98,664,130,534,102,36,2,421,96,135
62,HangfireIO/Hangfire,https://github.com/HangfireIO/Hangfire,C#,Database,5700,1300,104,113,295,95,200,100,33,4,64,18,8
63,HearthSim/Hearthstone-Deck-Tracker,https://github.com/HearthSim/Hearthstone-Deck-Tracker,C#,Games,3800,1000,290,97,383,118,265,59,27,5,58,24,8
64,HearthSim/HSTracker,https://github.com/HearthSim/HSTracker,Swift,Games,1016,162,129,38,219,35,184,54,21,4,1327,320,376
65,HeroTransitions/Hero,https://github.com/HeroTransitions/Hero,Swift,General Application,18400,1500,35,62,96,13,83,70,32,2,1299,322,147
66,https://github.com/99designs/gqlgen,https://github.com/99designs/gqlgen,Go,Database,4400,434,29,132,379,58,321,126,54,2,169,46,37
67,Hydrospheredata/mist,https://github.com/Hydrospheredata/mist,Scala,OS,288,63,49,23,342,34,308,120,72,4,831,403,217
68,IBM-Swift/Kitura,https://github.com/IBM-Swift/Kitura,Swift,Framework,7400,484,163,75,422,75,347,95,42,4,1409,586,494
69,Icinga/icinga2,https://github.com/Icinga/icinga2,C++,Networking,1400,452,79,213,1396,287,1109,49,25,3,123,35,40
70,IdentityServer/IdentityServer4,https://github.com/IdentityServer/IdentityServer4,C#,Framework,6400,2200,81,236,633,141,492,53,28,4,61,17,20
71,ImageMagick/ImageMagick,https://github.com/ImageMagick/ImageMagick,C,General Application,3800,638,191,74,213,85,128,36,10,2,37,6,8
72,IntelRealSense/librealsense,https://github.com/IntelRealSense/librealsense,C++,ToolKit,3900,2700,82,228,1389,185,1204,103,37,5,98,41,57
73,JayBizzle/Crawler-Detect,https://github.com/JayBizzle/Crawler-Detect,PHP,Web Application,1200,159,130,47,252,29,223,31,11,4,466,132,110
74,JeffreySu/WeiXinMPSDK,https://github.com/JeffreySu/WeiXinMPSDK,C#,ToolKit,6185,3900,44,106,1269,139,1130,98,42,3,74,17,23
75,Jguer/yay,https://github.com/Jguer/yay,Go ,Library,4761,176,50,73,456,40,416,49,32,3,188,26,50
76,JohnSundell/ImagineEngine,https://github.com/JohnSundell/ImagineEngine,Swift,Games,1598,102,11,19,122,10,112,61,12,3,1314,307,345
77,JosefNemec/Playnite,https://github.com/JosefNemec/Playnite,C#,Games,2408,222,75,39,169,28,141,45,11,2,44,23,7
78,JustArchiNET/ArchiSteamFarm,https://github.com/JustArchiNET/ArchiSteamFarm,C#,Games,5223,658,463,27,641,45,596,30,17,3,69,16,17
79,KELiON/cerebro,https://github.com/KELiON/cerebro,JavaScript,General Application,6600,439,23,37,152,12,140,52,65,4,304,51,24
80,Kinto/kinto,https://github.com/Kinto/kinto,Python,Web Application,4000,375,186,105,1655,162,1493,42,17,6,257,621,391
81,Kitware/CMake,https://github.com/Kitware/CMake,C,OS,3100,1500,174,858,321,302,19,44,11,2,37,11,8
82,Kong/kong,https://github.com/Kong/kong,Lua,Cloud,25700,3300,96,180,2489,722,1767,96,35,3,400,87,107
83,Kong/unirest-php,https://github.com/Kong/unirest-php,PHP,Library,1195,328,23,24,51,19,32,37,28,5,394,152,108
84,KSP-CKAN/CKAN,https://github.com/KSP-CKAN/CKAN,C#,Games,1100,262,124,79,1072,141,931,82,37,3,72,17,23
85,Kunena/Kunena-Forum,https://github.com/Kunena/Kunena-Forum,PHP,Web Application,1452,777,84,36,3216,224,2992,50,34,3,733,112,137
86,LawnchairLauncher/Lawnchair,https://github.com/LawnchairLauncher/Lawnchair,Java,Android,3400,584,757,88,257,75,182,103,50,2,222,39,60
87,Live-Charts/Live-Charts,https://github.com/Live-Charts/Live-Charts,C#,Web Application,4098,1081,48,30,110,13,97,133,72,3,30,1,40
88,LiveHelperChat/livehelperchat,https://github.com/LiveHelperChat/livehelperchat,PHP,Web Application,1300,523,130,34,159,25,134,174,46,3,399,135,161
89,LonamiWebs/Telethon,https://github.com/LonamiWebs/Telethon,Python,Library,3597,541,103,98,269,67,202,45,24,4,761,133,229
90,LumaTeam/Luma3DS,https://github.com/LumaTeam/Luma3DS,C,Games,2500,388,62,45,125,47,78,69,17,3,21,10,16
91,LUX-Core/lux,https://github.com/LUX-Core/lux,C++,Banking ,4002,76,17,30,74,43,31,130,50,3,95,34,26
92,Maatwebsite/Laravel-Excel,https://github.com/Maatwebsite/Laravel-Excel,PHP,Framework,8514,1386,133,118,357,98,259,54,20,4,504,227,155
93,MagicStack/uvloop,https://github.com/MagicStack/uvloop,Python,Networking,6877,403,71,30,108,31,77,76,26,3,680,229,163
94,MathewSachin/Captura,https://github.com/MathewSachin/Captura,C#,General Application,3600,544,30,46,195,16,179,241,72,3,55,15,10
95,Maximus5/ConEmu,https://github.com/Maximus5/ConEmu,C++,General Application,6700,455,345,36,90,72,18,52,30,6,93,23,43
96,MediaBrowser/Emby,https://github.com/MediaBrowser/Emby,C#,General Application,2500,697,765,117,1704,227,1477,150,117,3,80,26,19
97,Meituan-Dianping/mpvue,https://github.com/Meituan-Dianping/mpvue,JavaScript,Framework,19755,2036,20,132,89,26,63,74,26,2,265,14,93
